--- NVTX Summary ---
Generating SQLite file results/medium_ctx256_forward.sqlite from results/medium_ctx256_forward.nsys-rep
Processing [results/medium_ctx256_forward.sqlite] with [/opt/nvidia/nsight-compute/2023.1.1/host/target-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)   Style              Range            
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  -------  ----------------------------
     41.1        195700885          1  195700885.0  195700885.0  195700885  195700885          0.0  PushPop  benchmark                   
     29.9        142181000        144     987368.1     390149.0     351947   55149235    4556419.6  PushPop  scaled dot product attention
     13.6         64654561        144     448990.0     155212.5     141164   27047952    2237678.3  PushPop  computing attention scores  
     10.7         51068314        144     354641.1     108565.0      98757   21127383    1749448.8  PushPop  computing softmax           
      4.8         22622974        144     157104.0     103243.0      92635    6880393     564404.2  PushPop  final matmul                


--- CUDA Kernel Summary ---
Processing [results/medium_ctx256_forward.sqlite] with [/opt/nvidia/nsight-compute/2023.1.1/host/target-linux-x64/reports/cuda_kern_exec_sum.py]... 

 ** CUDA Kernel Launch & Exec Time Summary (cuda_kern_exec_sum):

 PID   TID   DevId  Count  QCount  TAvg (ns)   TMed (ns)   TMin (ns)  TMax (ns)  TStdDev (ns)  AAvg (ns)  AMed (ns)  AMin (ns)  AMax (ns)  AStdDev (ns)  QAvg (ns)   QMed (ns)   QMin (ns)  QMax (ns)  QStdDev (ns)  KAvg (ns)  KMed (ns)  KMin (ns)  KMax (ns)  KStdDev (ns)      API Name                                                  Kernel Name                                             
 ----  ----  -----  -----  ------  ----------  ----------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ----------  ----------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ----------------  ----------------------------------------------------------------------------------------------------
 2897  2897      0      6       5  15673111.8  19139842.0    1351164   21998883     8040141.2  1820927.2     5896.5       5478   10896741     4446222.6  16447926.4  19268875.0    1198979   21847292     8623908.1   145878.5   145857.5     145409     146209         279.4  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIterat…
 2897  2897      0      6       5  14703628.3  19009291.0    1243350   21749000     8756633.5  1020789.8     5789.0       5116    6096219     2486442.4  16417073.6  19402797.0    1235327   21741029     8580505.5     2208.0     2240.0       1952       2400         151.5  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::log_kernel_cuda(at::TensorIterat…
 2897  2897      0      6       5  14653246.3  19112265.0    1322116   21974497     9034539.3   847530.3     6753.0       6071    5052340     2059927.7  16559639.8  19375210.0    1308804   21960818     8625126.2     6421.2     6640.0       5312       6752         553.4  cudaLaunchKernel  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)4, void at::native::_cuda_scatte…
 2897  2897      0    156     156   6575522.5   4330744.0      73783   21873003     6786950.8     4979.3     4555.5       3743      33815        2509.7   6506548.0   4269296.5        244   21726361     6780294.6    63995.2    57457.0      56353     144097       22881.0  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 2897  2897      0    150     149   6389745.6   4392900.0      58033   21766243     6516056.3    66001.5     5240.0       4523    9093684      742054.5   6326032.3   4260630.0      13351   21682135     6532540.3    39911.4    38304.0      36832      79681        8073.6  cudaLaunchKernel  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
 2897  2897      0    300     298   6354474.1   4300452.0      12634   21954731     6468397.5    35313.9     4938.0       4411    9064563      523048.1   6354515.4   4288216.5        664   21946626     6477998.1     7015.2     7104.0       3200       8032         655.5  cudaLaunchKernel  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
 2897  2897      0    150     149   6322687.5   4292854.0      47423   21451486     6487188.1    79433.0     5592.5       5012   11034504      900481.6   6242579.0   4157277.0        550   21363154     6495469.7    42313.3    40864.0      39168      82337        8128.7  cudaLaunchKernel  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<flo…
 2897  2897      0    288     288   6317890.7   4528720.5      70201   20235869     6312016.5     6322.6     4749.0       3997      29451        2871.0   6250711.5   4462831.5        267   20170949     6313629.9    60856.6    60865.0      59393      63425         866.2  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
 2897  2897      0    150     150   6315063.8   4237923.5      68553   21706120     6525462.5     6124.9     4607.0       4020      28508        2782.5   6244724.7   4172521.0        288   21555891     6522965.6    64214.3    60833.0      59584     147169       16741.4  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat…
