--- NVTX Summary ---
Generating SQLite file results/medium_ctx256_full.sqlite from results/medium_ctx256_full.nsys-rep
Processing [results/medium_ctx256_full.sqlite] with [/opt/nvidia/nsight-compute/2023.1.1/host/target-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)   Style              Range            
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  -------  ----------------------------
     74.0        858400211          1  858400211.0  858400211.0  858400211  858400211          0.0  PushPop  benchmark                   
     13.2        152867542        144    1061580.2     458303.5     424199   60517410    5001540.1  PushPop  scaled dot product attention
      6.0         69048726        144     479505.0     182615.5     169832   29141119    2412322.0  PushPop  computing attention scores  
      4.6         53040911        144     368339.7     126437.0     117313   23131944    1915974.5  PushPop  computing softmax           
      2.3         26449965        144     183680.3     121498.0     109409    8148169     668784.0  PushPop  final matmul                


--- CUDA Kernel Summary ---
Processing [results/medium_ctx256_full.sqlite] with [/opt/nvidia/nsight-compute/2023.1.1/host/target-linux-x64/reports/cuda_kern_exec_sum.py]... 

 ** CUDA Kernel Launch & Exec Time Summary (cuda_kern_exec_sum):

 PID   TID   DevId  Count  QCount  TAvg (ns)   TMed (ns)   TMin (ns)  TMax (ns)  TStdDev (ns)  AAvg (ns)   AMed (ns)  AMin (ns)  AMax (ns)  AStdDev (ns)  QAvg (ns)   QMed (ns)   QMin (ns)  QMax (ns)  QStdDev (ns)  KAvg (ns)  KMed (ns)  KMin (ns)  KMax (ns)  KStdDev (ns)      API Name                                                  Kernel Name                                             
 ----  ----  -----  -----  ------  ----------  ----------  ---------  ---------  ------------  ----------  ---------  ---------  ---------  ------------  ----------  ----------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ----------------  ----------------------------------------------------------------------------------------------------
 3288  3420      0      6       5  51041671.7  47848385.5   47783988   66987126     7811858.0  11394841.5   281119.0     278312   66967731    27225044.6  47546870.6  47534817.0   47477078   47652528       64903.5    25253.5    25248.5      24288      25888         609.4  cudaLaunchKernel  void <unnamed>::indexing_backward_kernel<float, (int)4>(const long *, const long *, const T1 *, T1 …
 3288  3420      0      6       5  48861668.8  48242408.0   48176092   51940039     1509185.3   8683724.3    33095.0      29218   51940039    21191179.9  48210774.6  48199674.0   48139099   48318219       66256.1     2704.3     2752.5       2432       2817         151.2  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<long, long, long, …
 3288  3420      0      6       5  41976706.0  48101541.0   11255598   48229293    15050324.9   1881477.8     6732.5       6297   11255598     4592362.2  48112386.0  48101581.0   48042040   48220572       66265.1     1893.2     1888.0       1887       1920          13.2  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<long, long, long, …
 3288  3420      0      6       5  40175442.2  48184508.5      35094   48311004    19664763.7     48434.0    51398.5      33675      51715        7237.7  48150212.4  48139244.0   48077965   48258228       66643.0     1920.0     1920.0       1856       1984          60.3  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, long, …
 3288  3420      0      6       5  40081387.5  48075429.0      10731   48202014    19630618.0    213472.8   253368.5      10079     257195       99656.3  47840145.2  47828941.0   47770072   47946487       65384.3     1247.7     1216.0       1215       1376          64.2  cudaLaunchKernel  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
 3288  3420      0      6       5  39879235.5  47821052.5      74598   47944333    19500294.7     17970.8     6707.0       6191      74598       27743.4  47823578.4  47812583.0   47755333   47927822       64085.7     9856.0     9920.0       9440      10048         211.3  cudaLaunchKernel  void at_cuda_detail::cub::DeviceRadixSortSingleTileKernel<at_cuda_detail::cub::DeviceRadixSortPolic…
 3288  3420      0    144     144  30665659.1  32371058.5     696534   53103904    15155594.7      5141.4     4948.5       4603      17137        1122.0  30584853.7  32290611.5     617189   53023066    15155332.8    75663.9    75744.0      72481      77409         835.9  cudaLaunchKernel  ampere_sgemm_128x128_nn                                                                             
 3288  3420      0    144     144  30595829.2  32300300.0     654443   53035428    15154579.6      5780.5     5549.0       5212      16645        1333.6  30529326.4  32233752.5     587855   52969360    15154683.5    60722.3    60657.0      59904      61888         427.6  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
 3288  3420      0    144     144  30561885.9  32265386.5     626598   53002932    15154271.8      5495.0     5420.0       5007       8193         385.9  30507577.8  32211049.0     569765   52948931    15154353.5    48813.1    48816.5      48192      49505         275.6  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3288  3420      0    144     144  30482480.3  32197748.5     420173   52456053    15146027.2      6422.5     5919.5       5534      54122        4057.5  30459055.2  32174567.0     391970   52432948    15145763.6    17002.6    16992.0      16192      17537         237.4  cudaLaunchKernel  void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)64, (int)64>(T1 *…
 3288  3420      0    288     288  30467607.1  32185078.0     300036   52979538    15124507.3      5562.1     5243.5       4866      49905        2754.5  30452723.1  32170686.5     285403   52965076    15124924.9     9322.0     9344.0       8512      10401         329.7  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3288  3420      0    144     144  30405168.6  32064811.0     468756   53470061    15202991.8      5804.9     5489.0       5085      23795        1867.9  30342139.9  32001442.5     405612   53394764    15202683.7    57223.8    57249.0      56384      57984         313.7  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3288  3420      0    288     288  30383353.9  32120628.0     217019   53276116    15178195.9      6025.9     5852.5       5395      14448         869.9  30308372.0  32045473.5     143203   53201111    15178109.7    68955.9    69120.0      65249      70752         991.7  cudaLaunchKernel  ampere_sgemm_128x128_nt                                                                             
 3288  3420      0    576     576  30358665.3  32112627.5     174046   53308284    15134543.0      8029.5     6137.0       5413     939561       38953.1  30231960.2  31987800.0      52405   53170436    15132154.0   118675.5   118849.0     113825     120929        1252.2  cudaLaunchKernel  void cutlass::Kernel<cutlass_80_simt_sgemm_128x64_8x5_nt_align1>(T1::Params)                        
