--- NVTX Summary ---
Generating SQLite file results/medium_ctx512_full.sqlite from results/medium_ctx512_full.nsys-rep
Processing [results/medium_ctx512_full.sqlite] with [/opt/nvidia/nsight-compute/2023.1.1/host/target-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)   Style              Range            
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  -------  ----------------------------
     78.1       1597889164          1  1597889164.0  1597889164.0  1597889164  1597889164          0.0  PushPop  benchmark                   
     11.0        225967321        144     1569217.5      376073.0      351211    52719259    4831507.5  PushPop  scaled dot product attention
      5.3        108070211        144      750487.6      151131.0      140728    25393159    2371494.5  PushPop  computing attention scores  
      4.5         91498296        144      635404.8      102448.0       97344    20280078    1967132.0  PushPop  computing softmax           
      1.1         22834376        144      158572.1       99985.5       91934     6966404     572541.4  PushPop  final matmul                


--- CUDA Kernel Summary ---
Processing [results/medium_ctx512_full.sqlite] with [/opt/nvidia/nsight-compute/2023.1.1/host/target-linux-x64/reports/cuda_kern_exec_sum.py]... 

 ** CUDA Kernel Launch & Exec Time Summary (cuda_kern_exec_sum):

 PID   TID   DevId  Count  QCount   TAvg (ns)    TMed (ns)   TMin (ns)  TMax (ns)  TStdDev (ns)  AAvg (ns)   AMed (ns)  AMin (ns)  AMax (ns)  AStdDev (ns)   QAvg (ns)    QMed (ns)   QMin (ns)  QMax (ns)  QStdDev (ns)  KAvg (ns)  KMed (ns)  KMin (ns)  KMax (ns)  KStdDev (ns)      API Name                                                  Kernel Name                                             
 ----  ----  -----  -----  ------  -----------  -----------  ---------  ---------  ------------  ----------  ---------  ---------  ---------  ------------  -----------  -----------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ----------------  ----------------------------------------------------------------------------------------------------
 4040  4162      0      6       5  105535778.7  104710751.5  104576559  109640558     2013988.0  18424764.3   181367.0     180430  109640558    44686430.2  104530471.8  104524216.0  104393298  104731042      124683.3     2687.8     2736.0       2400       2815         154.0  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<long, long, long, …
 4040  4162      0      6       5   97543512.0  104060328.5   64801336  104290101    16040698.3  10988132.3   235018.0     229808   64758859    26342168.8  103811047.8  103802044.0  103681592  104008107      121059.5    46885.7    46656.5      46176      47808         637.3  cudaLaunchKernel  void <unnamed>::indexing_backward_kernel<float, (int)4>(const long *, const long *, const T1 *, T1 …
 4040  4162      0    144     144   91335165.8  107566150.0    4529428  115992180    29193637.0     13461.6    12966.5       4484     115369       16900.8   91058182.0  107287616.0    4265419  115626587    29188320.8   263522.2   263666.0     257474     269187        2163.7  cudaLaunchKernel  ampere_sgemm_128x128_nn                                                                             
 4040  4162      0    144     144   91205783.9  107477828.0    4350145  115233637    29172490.5     10036.1     5864.5       5588     212306       26032.6   91158840.1  107435226.0    4305535  115125566    29169495.1    36907.7    36944.0      35616      38496         436.8  cudaLaunchKernel  void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)64, (int)64>(T1 *…
 4040  4162      0    288     288   91185775.3  107454069.0    4294880  115674354    29126733.8      9157.2     5009.0       4578     216850       24114.5   91158778.5  107430830.0    4271729  115532464    29124208.5    17839.6    17872.0      16736      18944         397.0  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 4040  4162      0    144     144   90944084.3  107146822.0    4133807  115553147    29216557.9     44461.5    22349.5       5085    2077832      241855.0   90661964.1  106885093.0    3888635  115309748    29193660.5   237658.7   237602.0     235714     240002         823.6  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
 4040  4162      0    144     144   90821485.0  106897819.5    4298818  114511854    28978604.1     19231.9     5732.5       5295     606174       76299.0   90775805.3  106865223.0    4217336  114180732    28969490.4    26447.8    26464.0      25632      27585         360.6  cudaLaunchKernel  void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<float, unsigned int, (int)4, (int)…
 4040  4162      0    144     144   90738052.4  106935352.0    3925969  115554322    29218948.8      9996.4     5211.0       4744     221556       30478.5   90542680.4  106744810.0    3733013  115151124    29215331.7   185375.5   185329.5     184257     186466         423.9  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 4040  4162      0      6       5   90327189.8  104205004.0   20780407  104435966    34071006.9   3616327.7   185651.0     181705   20772342     8404696.5  104040451.6  104032207.0  103907227  104238711      122492.1    10880.3    10944.5      10432      11040         231.6  cudaLaunchKernel  void at_cuda_detail::cub::DeviceRadixSortSingleTileKernel<at_cuda_detail::cub::DeviceRadixSortPolic…
