--- NVTX Summary ---
Generating SQLite file results/small_ctx1024_full.sqlite from results/small_ctx1024_full.nsys-rep
Processing [results/small_ctx1024_full.sqlite] with [/opt/nvidia/nsight-compute/2023.1.1/host/target-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)   Style              Range            
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  -------  ----------------------------
     86.7       1302826447          1  1302826447.0  1302826447.0  1302826447  1302826447          0.0  PushPop  benchmark                   
      6.7        101475920         72     1409387.8      457938.5      418763    60585759    7077321.5  PushPop  scaled dot product attention
      3.1         47127788         72      654552.6      181852.0      166974    30756341    3599391.1  PushPop  computing attention scores  
      2.4         35569188         72      494016.5      124510.5      118564    22135135    2590494.7  PushPop  computing softmax           
      1.1         16456757         72      228566.1      120669.5      109712     7592703     880224.3  PushPop  final matmul                


--- CUDA Kernel Summary ---
Processing [results/small_ctx1024_full.sqlite] with [/opt/nvidia/nsight-compute/2023.1.1/host/target-linux-x64/reports/cuda_kern_exec_sum.py]... 

 ** CUDA Kernel Launch & Exec Time Summary (cuda_kern_exec_sum):

 PID   TID   DevId  Count  QCount   TAvg (ns)    TMed (ns)   TMin (ns)  TMax (ns)  TStdDev (ns)  AAvg (ns)   AMed (ns)  AMin (ns)  AMax (ns)  AStdDev (ns)   QAvg (ns)    QMed (ns)   QMin (ns)  QMax (ns)  QStdDev (ns)  KAvg (ns)  KMed (ns)  KMin (ns)  KMax (ns)  KStdDev (ns)      API Name                                                  Kernel Name                                             
 ----  ----  -----  -----  ------  -----------  -----------  ---------  ---------  ------------  ----------  ---------  ---------  ---------  ------------  -----------  -----------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ----------------  ----------------------------------------------------------------------------------------------------
 2514  2648      0      6       5  192320391.2  191480307.5  191425072  196524402     2060489.6  32759956.7     6633.5       6173  196524402    80227865.8  191469756.4  191427214.0  191415305  191569166       69024.3     2725.3     2736.5       2527       2912         136.7  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<long, long, long, …
 2514  2648      0      6       5  170144640.3  191152370.5   64865172  191306444    51576235.2  10853527.0    64519.5      59106   64805260    26430843.4  191072611.0  191026477.0  191018492  191179361       71488.9    64757.5    64832.0      63744      65408         546.3  cudaLaunchKernel  void <unnamed>::indexing_backward_kernel<float, (int)4>(const long *, const long *, const T1 *, T1 …
 2514  2648      0      6       5  161359958.2  191366990.0   11097919  191513338    73613091.1   1863056.3    17024.5      10562   11097919     4524141.2  191394470.8  191348776.0  191338382  191500984       71590.3     1813.5     1824.0       1792       1824          16.3  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<long, long, long, …
 2514  2648      0      6       5  159557828.2  191417736.5      32093  191560783    78151354.4     22288.8    23274.0      11902      30673        6274.9  191440507.2  191395110.0  191384169  191546993       71615.6     1840.0     1840.0       1760       1920          66.4  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, long, …
 2514  2648      0      6       5  159484929.5  191334329.0      10221  191484313    78126357.7     14341.8    14935.5       9571      16786        2544.0  191363365.4  191317821.0  191307636  191468335       70905.3     1210.8     1216.0       1184       1217          13.2  cudaLaunchKernel  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
 2514  2648      0      6       5  159419932.2  191253565.5      19905  191405887    78089772.6      8028.8     6204.5       5541      17987        4890.4  191290764.0  191244993.0  191234049  191396546       71753.7     3136.3     3136.0       3104       3169          28.6  cudaLaunchKernel  void at_cuda_detail::cub::DeviceRadixSortHistogramKernel<at_cuda_detail::cub::DeviceRadixSortPolicy…
 2514  2648      0      6       6  159415576.2  191247825.0      24311  191398194    78085479.7      7714.7     4857.0       4665      22207        7101.4  159406288.5  191241406.0        536  191391647    78092577.0     1573.0     1568.0       1567       1600          13.2  cudaLaunchKernel  void at_cuda_detail::cub::DeviceRadixSortExclusiveSumKernel<at_cuda_detail::cub::DeviceRadixSortPol…
 2514  2648      0     12      11  159385863.4  191243108.5      14924  191394584    74424733.4     56001.3    58457.0       5131      89287       21359.5  173805077.3  191181867.0        897  191343581    57644383.8     9320.0     9184.0       8768       9952         475.4  cudaLaunchKernel  void at_cuda_detail::cub::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<…
 2514  2648      0     72      72  144387535.0  160119284.5   12852015  209373570    59585728.6      8553.2     4779.5       4323     167548       20647.6  143749464.6  159487867.0   12217605  208741860    59582809.3   629517.3   628517.0     624549     648902        3779.9  cudaLaunchKernel  ampere_sgemm_128x128_nn                                                                             
 2514  2648      0     72      72  144180579.5  160133434.0   12785852  209335432    59386464.0     79577.2     6082.0       5294     841542      159772.7  144044218.7  160071739.5   12720274  209264794    59318080.7    56783.5    56864.5      55073      58272         845.0  cudaLaunchKernel  void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)64, (int)64>(T1 *…
 2514  2648      0    144     144  144168079.8  160094896.5   12759813  209306900    59203773.3     59608.6     5109.0       4548     554584      104896.4  144082502.7  160063296.5   12696842  209275740    59154588.2    25968.5    25952.0      25152      27040         342.8  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 2514  2648      0     72      72  143820076.6  160218157.0   12857631  208244215    58974293.2     31945.5     6176.5       5203     591692       97029.7  143742084.9  160166603.0   12762467  207662548    58949628.5    46046.2    46032.0      45472      46849         324.7  cudaLaunchKernel  void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<float, unsigned int, (int)4, (int)…
 2514  2648      0     72      72  143271387.3  158974723.5   11738451  208243002    59619459.0     17982.2     5520.0       4947     623046       72734.4  142543414.2  158257134.5   11020791  207516273    59606739.6   709990.9   709862.0     706534     714246        1765.8  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
 2514  2648      0     72      72  142603582.7  158288167.5   11057562  207802871    59635148.7     20175.3     5171.5       4686     249572       47397.8  141963938.9  157664827.5   10431295  206935085    59619613.6   619468.4   619429.0     618117     620966         610.4  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 2514  2648      0    882     882  140554728.7  158130910.0    1641302  209322484    60873827.9     54871.7     5068.0       4015    1069032      166003.0  140462778.5  158089097.5    1277867  209284159    60834575.0    37078.5    26272.0      23488     582853       46091.5  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 2514  2648      0    360     360  139520211.4  158542725.5    2058883  206862104    59834854.0     79581.3     5785.5       4842     715068      198337.9  139122775.1  158184481.0    1815271  206115186    59778759.7   317855.1   237842.0     235555     650213      160336.2  cudaLaunchKernel  void cutlass::Kernel<cutlass_80_simt_sgemm_128x64_8x5_nt_align1>(T1::Params)                        
 2514  2648      0    942     942  139347830.9  158173177.0    1589999  209333265    60194889.6     23023.5     5665.5       4675     684319       91812.8  139290760.0  158119676.0    1551284  209281189    60177364.8    34047.4    32064.0      13312     138177       16705.2  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 2514  2648      0    954     954  139003568.2  158045902.5     326842  209332179    60898300.9     51575.9     4664.5       3854    3138360      209269.9  138801658.7  158007086.0     142025  209277408    60866863.4   150333.5    67344.5      33344    1071305      277762.0  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::deta…
 2514  2648      0     72      72  138871383.7  154271822.5    7073955  205938282    59928104.9     96378.3     5456.0       5000    3140069      518768.6  138061810.6  153553082.5    6353989  203595256    59827877.3   713194.8   713126.0     710150     716647        1370.7  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 2514  2648      0    144     144  138794952.6  156762504.0    2601814  208765391    59841641.9     34144.6     5647.5       5061     619998      119894.7  138167379.7  156157758.0    1993833  208170005    59814173.1   593428.3   590629.0     588260     629509        7034.1  cudaLaunchKernel  ampere_sgemm_128x128_nt                                                                             
 2514  2648      0    504     504  138254418.8  157422689.5    1654710  206599715    60510418.6     73960.7     4798.0       4256     712126      182105.3  137741496.1  157152444.5     974156  206330571    60458602.6   438962.0   266610.0     262498     685446      200599.8  cudaLaunchKernel  ampere_sgemm_128x64_nn                                                                              
 2514  2648      0    168     166  136523994.0  155796865.5      64581  207451577    65195630.0     36075.1     4968.5       4326     659743      119190.3  137958062.9  156997118.5         94  207201336    63814975.2   172252.7   166625.0       1632     346115      164846.4  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::…
 2514  2648      0    216     216  136083525.7  151673258.0    3444894  204923008    59733924.2     27100.3     4858.0       4080     674067      105601.3  135340350.9  150950137.5    2719170  204196965    59709974.5   716074.5   716134.0     711942     721254        1788.3  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 2514  2648      0    150     150  135721671.2  150407335.0    1704603  204524940    62587478.3    177956.9     5547.0       4777     717414      288659.4  135509913.3  150368154.0    1664160  203938591    62425318.4    33801.0    33761.0      33280      34528         217.8  cudaLaunchKernel  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapp…
 2514  2648      0    150     150  135273887.3  150513912.0    1798948  203132355    62070501.9    102343.0     5536.5       4855     696967      214262.3  135169332.2  150506551.5    1789924  203124738    61980516.9     2212.1     2208.5       2048       2432          80.1  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
 2514  2648      0   1032    1032  135140442.1  149682335.0    1697103  205460660    61740982.0     70530.3     4620.0       3782    1064507      205694.3  134842377.6  149569113.0    1623628  205278196    61672568.4   227534.3    68768.0       1311    1080138      342351.5  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
 2514  2648      0    300     300  134943835.1  150514402.5    1781460  203116723    61664354.0    120489.5     5097.5       4273    1059497      282479.7  134799382.3  150486588.0    1746425  203109954    61555514.3    23963.3    23648.0       1664      47328       22024.7  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
 2514  2648      0     72      72  134225473.5  149467557.0    2853659  201191808    60036477.4     21137.9     4713.5       4315     699596       85856.6  133713041.7  148972186.5    2351516  200653891    60020169.3   491293.9   490756.5     480132     503589        4588.2  cudaLaunchKernel  ampere_sgemm_128x128_tn                                                                             
 2514  2648      0     72      71  134156536.0  146295456.0    9943817  205615556    62616406.4    146825.2     5060.5       4637    9767198     1150240.7  135715934.5  147851096.0   13442682  205431780    61257940.1   178735.7   178497.0     176930     182177         860.8  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_backward_kernel_cuda(at:…
